T.rec T.ins T.mki T.imu T.aln T.nav  Pitch.i Roll.i THdg.i  VE.i VN.i VU.bi  Lon.i Lat.i H.bi  Pitch.it Roll.it GHdg.it THdg.it  VE.it VN.it VU.bit  Lon.it Lat.it H.bit  Vr1 Vr2  Azm  Pitch.k Roll.k GHdg.k THdg.k  VE.k VN.k VU.k  Lon.k Lat.k H.k  dLon.i dLat.i dH.i  dLon.k dLat.k dH.k  alpha1.r alpha2.r beta3.r  WdX.r WdY.r WdZ.r  alpha1.s alpha2.s beta3.s  WdX.s WdY.s WdZ.s  dRE.n dRN.n dRU.n  dHb.n  dVE.n dVN.n dVU.n dV1.n dV2.n  alpha1.n alpha2.n beta3.n  WdX.n WdY.n WdZ.n  AoX.n AoY.n AoZ.n  TauP.n TauV.n  alpha1.d alpha2.d beta3.d  WdX.d WdY.d WdZ.d  AoX.d AoY.d AoZ.d  MSens msCause ms_dV1 ms_dV2 ms_dPitch ms_dRoll ms_dHdg  Pitch.at Roll.at THdg.at  Pitch.sm Roll.sm THdg.sm Ax.1s Ay.1s Az.1s  Ax.sm Ay.sm Az.sm  Wx.1s Wy.1s Wz.1s  Wx.sm Wy.sm Wz.sm  Ta.x Ta.y Ta.z  Tg.x Tg.y Tg.z  Lat.gc Lat.sm  Ws1 Ws2 Ws3  Wc1 Wc2 Wc3  Wd1.lat Wd2.lat  AccErr GyrErr  
296 296.09 0 296.09 282.7 10.39 2.50488281 0.142822266 -119.311523 -0.00823914952 -0.00502387166 -0.00562673626 38.8448698 55.6884953 150 2.50544071 0.143938065 0.00030040741 -119.312918 -0.00803819466 -0.00502387166 -0.00562673626 38.8448698 55.6884954 149.980469 -0.000401909733 0.00924392385 -119.31324 2.50531197 0.143959522 0.000364780426 -119.312854 -0.00803819466 -0.00502387166 -0.00562673626 38.8448708 55.688496 149.996094 -0.0997539884 -0.0838257372 -0.01953125 -0.0367514694 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50531197 0.143959522 -119.312854 0 0 0 0.42841053 9.80616266 -0.0247309208 0 0 0 -3.09076309 14.202404 7.4174881 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 476.785111 -7.77845661 
297 297.09 0 297.09 282.7 11.39 2.50488281 0.142822266 -119.311523 -0.00924392385 -0.00542578139 -0.00723437519 38.8448698 55.6884953 150 2.50550508 0.1430583 0.000171661377 -119.313047 -0.00924392385 -0.00522482653 -0.00703342032 38.8448697 55.6884953 149.976563 -0.000200954866 0.0102486982 -119.31324 2.50561237 0.143165588 0.000107288361 -119.313111 -0.00904296899 -0.00522482653 -0.00703342032 38.8448708 55.688496 149.992188 -0.105004198 -0.093139708 -0.0234375 -0.0367514694 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50561237 0.143165588 -119.313111 0 0 0 0.428396821 9.8041808 -0.0251562595 0 0 0 -1.76038742 10.795784 6.70681 0 0 0 75.8 76.1 77.15 75.3 74.95 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 478.617135 -7.84594795 
298 298.09 0 298.09 282.7 12.39 2.50488281 0.142822266 -119.311523 -0.0102486982 -0.00602864599 -0.00763628492 38.8448694 55.6884953 150 2.50574112 0.143294334 0.000278949738 -119.312961 -0.0102486982 -0.00582769113 -0.00743533006 38.8448695 55.6884953 149.972656 -0.000200954866 0.0114544274 -119.31324 2.50561237 0.14333725 0.00040769577 -119.312832 -0.0100477433 -0.00582769113 -0.00743533006 38.8448708 55.688496 149.992188 -0.115504618 -0.093139708 -0.02734375 -0.0367514694 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50561237 0.14333725 -119.312832 0 0 0 0.429991424 9.8042416 -0.0240574479 0 0 0 -4.82110977 11.4420891 8.06035995 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 485.959606 -7.88687094 
299 299.09 0 299.09 282.7 13.39 2.50488281 0.142822266 -119.311523 -0.0104496531 -0.00643055573 -0.00803819466 38.8448694 55.6884953 150 2.5056982 0.143508911 0.000472068787 -119.312747 -0.0102486982 -0.00622960086 -0.00803819466 38.8448694 55.6884952 149.964844 -0.000401909733 0.0118563371 -119.31324 2.50561237 0.143380165 0.000536441803 -119.312704 -0.0100477433 -0.00622960086 -0.00803819466 38.8448708 55.688496 149.988281 -0.126005038 -0.102453679 -0.03515625 -0.0367514694 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50559092 0.143380165 -119.312704 0 0 0 0.430140376 9.80520374 -0.024782002 0 0 0 -3.15856934 13.9569283 7.67755508 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 486.093106 -7.93053744 
300 300.09 0 300.09 282.7 14.39 2.50488281 0.142822266 -119.317017 -0.00864105926 -0.00602864599 -0.00844010439 38.8448691 55.6884953 150 2.50533342 0.14269352 -0.00139474869 -119.314635 -0.00864105926 -0.00602864599 -0.00823914952 38.8448692 55.6884951 149.960938 -0.0012057292 0.0102486982 -119.31324 2.50556946 0.142736435 -0.00173807144 -119.314957 -0.00844010439 -0.00602864599 -0.00823914952 38.8448704 55.688496 149.988281 -0.136505458 -0.11176765 -0.0390625 -0.0577523091 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50556946 0.142736435 -119.314957 0 0 0 0.429479659 9.80463958 -0.0246977806 0 0 0 -3.85980606 11.3820076 7.604599 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 493.174693 -7.91124806 
301 301.09 0 301.09 282.7 15.39 2.50488281 0.142822266 -119.311523 -0.0108515628 -0.00743533006 -0.00904296899 38.8448691 55.6884953 150 2.50529051 0.143959522 -0.000579357147 -119.313798 -0.0108515628 -0.00723437519 -0.00884201412 38.844869 55.6884951 149.957031 -0.0012057292 0.0128611115 -119.31324 2.50533342 0.143809319 -0.000643730164 -119.313862 -0.0104496531 -0.00723437519 -0.00884201412 38.8448704 55.688496 149.988281 -0.147005878 -0.11176765 -0.04296875 -0.0577523091 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50533342 0.143809319 -119.313862 0 0 0 0.427882493 9.80606753 -0.0248240829 0 0 0 -7.35139847 20.2260017 7.06987381 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 502.041135 -7.95470646 
302 302.09 0 302.09 282.7 16.39 2.50488281 0.142822266 -119.311523 -0.00904296899 -0.00703342032 -0.00984678845 38.8448688 55.688495 150 2.50571966 0.144066811 0.000193119049 -119.313025 -0.00904296899 -0.00703342032 -0.00984678845 38.8448688 55.688495 149.953125 -0.0018085938 0.0110525177 -119.31324 2.5059557 0.143852234 0.000171661377 -119.313047 -0.00864105926 -0.00663151059 -0.00984678845 38.8448704 55.688496 149.984375 -0.157506297 -0.12108162 -0.046875 -0.0577523091 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.5059557 0.143852234 -119.313047 0 0 0 0.431034744 9.80493349 -0.024725914 0 0 0 2.0693779 11.7296219 6.77633286 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 502.931841 -8.00972938 
303 303.09 0 303.09 282.7 17.39 2.50488281 0.142822266 -119.311523 -0.00743533006 -0.00582769113 -0.0100477433 38.8448688 55.688495 150 2.50576258 0.145075321 -0.000386238098 -119.313605 -0.00723437519 -0.00582769113 -0.0100477433 38.8448688 55.688495 149.945313 -0.00160763893 0.00904296899 -119.31324 2.50582695 0.145139694 -0.000472068787 -119.313712 -0.00683246546 -0.00542578139 -0.00984678845 38.8448704 55.688496 149.984375 -0.162756507 -0.130395591 -0.0546875 -0.0577523091 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50582695 0.145139694 -119.313712 0 0 0 0.427458227 9.80502307 -0.0248192549 0 0 0 -4.88977432 11.1150742 8.44831467 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 507.568959 -8.00772205 
304 304.09 0 304.09 282.7 18.39 2.51037598 0.142822266 -119.317017 -0.00803819466 -0.00643055573 -0.0128611115 38.8448688 55.688495 150 2.50880957 0.140225887 -0.00236034393 -119.315579 -0.00783723979 -0.00643055573 -0.0128611115 38.8448686 55.688495 149.941406 -0.0018085938 0.00964583359 -119.31324 2.50868082 0.140140057 -0.00229597092 -119.315515 -0.00723437519 -0.00602864599 -0.0128611115 38.8448704 55.688496 149.980469 -0.173256927 -0.130395591 -0.05859375 -0.0577523091 -0.0186279416 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50868082 0.140140057 -119.315515 0 0 0 0.426868081 9.80509692 -0.0252961516 0 0 0 4.12330627 13.7972832 5.41934967 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 502.090855 -7.96202306 
305 305.09 0 305.09 282.7 19.39 2.51037598 0.137329102 -119.317017 -0.00723437519 -0.00622960086 -0.013463976 38.8448684 55.688495 150 2.50895977 0.139775276 -0.00120162964 -119.314442 -0.00703342032 -0.00622960086 -0.013463976 38.8448685 55.6884949 149.933594 -0.00200954866 0.00904296899 -119.31324 2.50887394 0.139710903 -0.00115871429 -119.314377 -0.00643055573 -0.00582769113 -0.013463976 38.8448704 55.6884956 149.976563 -0.178507137 -0.139709562 -0.06640625 -0.0577523091 -0.0558838248 0 -0.710678101 -0.777626038 -109.547424 0 0 0 -0.720977783 -0.772476196 -108.476257 0.001 0 -0.007 0 0 0 -0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00321527786 0 0 0 0 2.50887394 0.139710903 -119.314377 0 0 0 0.430247664 9.80344784 -0.0241237879 0 0 0 -22.8549957 12.2008324 19.5754051 0 0 0 75.8 76.1 77.15 75.3 74.9 74.7 55.6884956 0 -0.173 -0.2225 0 7.392 -4.15 12.424 -0.173 -0.2225 497.201148 -7.90205448 
